frequency,frequency_cm,dos,dos_weighted,dos_convoluted,dos_weighted_convoluted,2w_dos_weighted
-36.7061765105,-1224.3862555908597,0.0,0.0,0.074139544830864,0.00023366129099815783,0.0008408450832343534
-36.6495311763,-1222.4967706258976,0.0,0.0,0.07601585681867219,0.00024188950251507373,0.0011048533395347907
-36.5928858422,-1220.607285664271,0.0,0.0,0.07798998121061153,0.0002505674056091317,0.0015832033492306466
-36.5362405081,-1218.717800702645,0.0,0.0,0.08020348893395361,0.00026016346950775217,0.0022504055576419582
-36.479595173999996,-1216.8283157410185,0.0,0.0,0.08241561254300844,0.0002699159443383294,0.0027175150850314517
-36.4229498399,-1214.9388307793922,0.0,0.0,0.08420135394936917,0.0002784259577977264,0.002651889963440073
-36.3663045057,-1213.0493458144301,0.0,0.0,0.08576740326211059,0.0002863428417680812,0.0023658288280049853
-36.3096591716,-1211.159860852804,0.0,0.0,0.08713776638504846,0.00029372762116567475,0.0022403200455734205
-36.2530138375,-1209.2703758911775,0.0,0.0,0.0882995592103291,0.00030051898673605473,0.0022284225620992234
-36.196368503399995,-1207.380890929551,0.0,0.0,0.08892123546954858,0.00030555708176830055,0.0022014530372244873
-36.1397231693,-1205.4914059679247,0.0,0.0,0.08889069778241217,0.0003083999625292603,0.002154552690452773
-36.0830778351,-1203.6019210029629,0.0,0.0,0.08817770907330673,0.00030887631064202065,0.0021106417558060414
-36.026432501,-1201.7124360413366,0.0,0.0,0.08680956562113554,0.00030701392129111726,0.002075101752592809
-35.9697871669,-1199.82295107971,0.0,0.0,0.08476515469340336,0.0003026696975538518,0.0020463993837256137
-35.9131418328,-1197.9334661180837,0.0,0.0,0.0823589133873882,0.0002969058049607448,0.0020129709353858233
-35.8564964987,-1196.0439811564572,0.0,0.0,0.07970747160842206,0.0002901064871466734,0.0019664862874123183
-35.7998511645,-1194.1544961914954,0.0,0.0,0.07677207761827644,0.00028210289354597875,0.0019233339070087781
-35.7432058304,-1192.265011229869,0.0,0.0,0.07359013304919208,0.00027300169338055147,0.0019007008157478024
-35.6865604963,-1190.3755262682425,0.0,0.0,0.07026710171781277,0.0002631683748042217,0.0018915523309540844
-35.6299151622,-1188.4860413066162,0.0,0.0,0.06693273377085512,0.00025307475176386817,0.0018849280455253041
-35.573269828,-1186.5965563416544,0.0,0.0,0.0635672466523443,0.00024264150348882188,0.0018800927349774356
-35.5166244939,-1184.7070713800279,0.0,0.0,0.0600894395957685,0.00023155162057145558,0.0018777706849769215
-35.4599791598,-1182.8175864184016,0.0,0.0,0.056883261870407986,0.00022128358899906088,0.001873864787960617
-35.4033338257,-1180.9281014567753,0.0,0.0,0.054091627032935095,0.00021242602624885003,0.0018731619577534988
-35.3466884916,-1179.038616495149,0.0,0.0,0.05172677634572039,0.00020507141718451813,0.0019221038516067214
-35.2900431574,-1177.1491315301869,0.0,0.0,0.049813260458732425,0.00019936432624393356,0.0020558979380969644
-35.233397823299995,-1175.2596465685604,0.0,0.0,0.048405227644700684,0.00019557319268386915,0.0022161857570232933
-35.1767524892,-1173.370161606934,0.0,0.0,0.04760748063065438,0.00019418311047926832,0.0023354396461266014
-35.1201071551,-1171.480676645308,0.0,0.0,0.04733627508170655,0.00019492001818270405,0.0024125363619101007
-35.063461821,-1169.5911916836815,0.0,0.0,0.04749045737099276,0.00019742511619949264,0.0024655811143383883
-35.0068164868,-1167.7017067187194,0.0,0.0,0.048056637309357955,0.0002016932076566018,0.002520767141082546
-34.9501711527,-1165.8122217570933,0.0,0.0,0.049045750693607,0.0002078211578080291,0.0025985905961594486
-34.8935258186,-1163.9227367954668,0.0,0.0,0.050421688641550104,0.000215707590660073,0.0026856691085054714
-34.8368804845,-1162.0332518338405,0.0,0.0,0.052123829866913676,0.00022514010643850596,0.002776150536883355
-34.7802351503,-1160.1437668688784,0.0,0.0,0.05407976868478228,0.0002358454379952925,0.002931859867118823
-34.7235898162,-1158.254281907252,0.0,0.0,0.056544053280650375,0.0002489793729047418,0.0031919858735757235
-34.6669444821,-1156.3647969456258,0.0,0.0,0.059063516012220214,0.0002625937403809271,0.003426855527618195
-34.610299147999996,-1154.4753119839993,0.0,0.0,0.06022723836041874,0.00027036209263850067,0.003508010444018389
-34.5536538139,-1152.585827022373,0.0,0.0,0.060676123647441016,0.00027501646772217056,0.0035011740481109277
-34.4970084797,-1150.6963420574111,0.0,0.0,0.060918576325339556,0.00027879204980037783,0.0035024940464939303
-34.4403631456,-1148.8068570957848,0.0,0.0,0.06102858330106145,0.000282004145529342,0.0035210707902175284
-34.3837178115,-1146.9173721341583,0.0,0.0,0.06101016272135699,0.00028465394399040814,0.0035463535144301186
-34.3270724774,-1145.027887172532,0.0,0.0,0.06077927631805642,0.00028632757706309166,0.0035792016020612504
-34.2704271433,-1143.1384022109055,0.0,0.0,0.060382149055162586,0.00028721559463040823,0.003621345224049625
-34.2137818091,-1141.2489172459436,0.0,0.0,0.06006007205409019,0.0002884550490461849,0.003665912838262264
-34.157136475,-1139.3594322843173,0.0,0.0,0.059814839243837556,0.00029006488096013533,0.003707468766068514
-34.1004911409,-1137.4699473226908,0.0,0.0,0.05967232051945167,0.00029218218002934483,0.003756099724645291
-34.0438458068,-1135.5804623610645,0.0,0.0,0.059678885932846676,0.0002950504234515173,0.003823422233911309
-33.987200472699996,-1133.6909773994382,0.0,0.0,0.05969290709265455,0.00029798469906289036,0.0039100420370683136
-33.9305551385,-1131.8014924344761,0.0,0.0,0.05974165034837138,0.00030112515158940933,0.004013692214770797
-33.8739098044,-1129.9120074728498,0.0,0.0,0.059832199672744335,0.0003045130008141022,0.0041320344121167155
-33.8172644703,-1128.0225225112235,0.0,0.0,0.059991451882278585,0.00030829293678819156,0.004261450833280233
-33.7606191362,-1126.1330375495972,0.0,0.0,0.06020739650011766,0.00031241337906648696,0.00439338444484042
-33.703973802,-1124.2435525846352,0.0,0.0,0.060131297597173936,0.0003150563656736759,0.004522110172768565
-33.647328467899996,-1122.3540676230086,0.0,0.0,0.05978406517029055,0.0003162881660097645,0.004659373980058953
-33.5906831338,-1120.4645826613826,0.0,0.0,0.05932297809044411,0.00031690704884900146,0.004817458502856687
-33.5340377997,-1118.5750976997563,0.0,0.0,0.058815350390203996,0.00031725807930211815,0.004991383803855665
-33.4773924656,-1116.6856127381297,0.0,0.0,0.05826334432213574,0.0003173452488448613,0.005172817235270123
-33.4207471314,-1114.7961277731677,0.0,0.0,0.05766962355548445,0.00031717543850682216,0.005358468315090457
-33.3641017973,-1112.9066428115416,0.0,0.0,0.0570160322034965,0.000316640406413184,0.005556334598694273
-33.3074564632,-1111.017157849915,0.0,0.0,0.0563399466924028,0.0003159398284834473,0.005815371494006373
-33.2508111291,-1109.1276728882888,0.0,0.0,0.055633733434869194,0.0003150262873960667,0.00616930834413001
-33.194165795,-1107.2381879266625,0.0,0.0,0.054897211277410506,0.000313892937852855,0.006542497158134541
-33.1375204608,-1105.3487029617004,0.0,0.0,0.054097822486856774,0.0003123458568091151,0.006846399856316147
-33.0808751267,-1103.459218000074,0.0,0.0,0.05323634778993491,0.0003103780139893232,0.007061959871142723
-33.024229792599996,-1101.5697330384476,0.0,0.0,0.05233311701955434,0.00030809757368020145,0.007287190369771787
