frequency,parallel,perpendicular
-936.763552,334.61843909999993,251.59882039999997
-936.503608,334.61843909999993,251.59882039999997
-936.243664,319.248342,295.65688230000006
-935.98372,319.248342,295.65688230000006
-935.7237759999999,323.3449113000001,272.11524442
-935.4638319999999,323.3449113000001,272.11524442
-935.203888,323.3449113000001,272.11524442
-934.943944,305.1747397,282.30668882
-934.684,305.1747397,282.30668882
-934.424056,323.1377494999999,273.29813020000006
-934.1641119999999,323.1377494999999,273.29813020000006
-933.9041679999999,337.1009513,300.95629830000007
-933.6442239999999,337.1009513,300.95629830000007
-933.38428,372.79759020000006,299.9875394
-933.124336,372.79759020000006,299.9875394
-932.864392,330.22758919999995,278.27271887
-932.6044479999999,330.22758919999995,278.27271887
-932.3445039999999,330.22758919999995,278.27271887
-932.08456,360.9904302,285.51132
-931.824616,360.9904302,285.51132
-931.564672,375.3537602999999,286.92235681000005
-931.304728,375.3537602999999,286.92235681000005
-931.0447839999999,372.2504299,275.88146600000005
-930.7848399999999,372.2504299,275.88146600000005
-930.5248959999999,368.3469116,272.90538711000005
-930.264952,368.3469116,272.90538711000005
-930.005008,368.5766398999999,288.8016493
-929.745064,368.5766398999999,288.8016493
-929.4851199999999,368.5766398999999,288.8016493
-929.2251759999999,329.78239980000006,279.55512292000003
-928.965232,329.78239980000006,279.55512292000003
-928.705288,374.6363707,279.94487262010006
-928.445344,374.6363707,279.94487262010006
-928.1854,331.5329805,283.53813816999997
-927.9254559999999,331.5329805,283.53813816999997
-927.6655119999999,353.89639999999997,269.8944909
-927.4055679999999,353.89639999999997,269.8944909
-927.145624,353.9926800999999,272.88835299999994
-926.88568,353.9926800999999,272.88835299999994
-926.625736,353.9926800999999,272.88835299999994
-926.3657919999999,375.1559107,250.51268059999998
-926.1058479999999,375.1559107,250.51268059999998
-925.845904,396.0524477999999,278.64983930000005
-925.58596,396.0524477999999,278.64983930000005
-925.326016,373.21567250000004,271.69563
-925.066072,373.21567250000004,271.69563
-924.806128,368.77894019999997,309.0870512999999
-924.5461839999999,368.77894019999997,309.0870512999999
-924.2862399999999,361.1421089,288.3453507
-924.026296,361.1421089,288.3453507
-923.766352,387.23868049999993,317.08471950000006
-923.506408,387.23868049999993,317.08471950000006
-923.246464,387.23868049999993,317.08471950000006
-922.9865199999999,395.06819559,299.92830789999994
